Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,145.8699951171875,146.02000427246094,145.0800018310547,145.97000122070312,129.05589294433594,5777000
2020-01-03,143.5,145.3699951171875,143.0,144.27999877929688,127.56175994873047,5752400
2020-01-06,144.0,144.1999969482422,142.85000610351562,144.10000610351562,127.40261840820312,7731300
2020-01-07,144.00999450683594,145.4499969482422,141.3800048828125,144.97999572753906,128.1806182861328,7382900
2020-01-08,144.8699951171875,145.97999572753906,143.6999969482422,144.9600067138672,128.16293334960938,6605800
2020-01-09,145.75999450683594,146.02999877929688,144.99000549316406,145.38999938964844,128.5431365966797,6112700
2020-01-10,145.75,146.17999267578125,144.89999389648438,145.05999755859375,128.2513427734375,5042600
2020-01-13,145.47999572753906,145.7899932861328,144.72000122070312,145.6999969482422,128.8171844482422,4593200
2020-01-14,145.0500030517578,146.61000061035156,144.72999572753906,146.52000427246094,129.54217529296875,7037500
2020-01-15,146.39999389648438,147.39999389648438,146.24000549316406,147.00999450683594,129.97537231445312,4960300
2020-01-16,147.4199981689453,148.83999633789062,146.1999969482422,148.1999969482422,131.0275115966797,6476000
2020-01-17,148.41000366210938,149.41000366210938,147.92999267578125,149.1699981689453,131.88507080078125,9083600
2020-01-21,148.5800018310547,150.1699981689453,148.5,149.27000427246094,131.97349548339844,9543900
2020-01-22,146.6999969482422,149.17999267578125,146.0,148.25,131.07171630859375,10305300
2020-01-23,148.0399932861328,148.77000427246094,146.75999450683594,148.52999877929688,131.3192596435547,8671900
2020-01-24,148.5800018310547,148.9499969482422,147.92999267578125,148.32000732421875,131.1335906982422,9051900
2020-01-27,147.52000427246094,149.4600067138672,147.0,148.75,131.51377868652344,7587100
2020-01-28,148.4600067138672,150.57000732421875,148.14999389648438,149.5,132.17684936523438,7336600
2020-01-29,149.4499969482422,151.19000244140625,149.1300048828125,150.5399932861328,133.09629821777344,6288600
2020-01-30,150.02999877929688,150.50999450683594,149.0500030517578,150.36000061035156,132.93722534179688,6470600
2020-01-31,149.75,150.0,148.63999938964844,148.8699951171875,131.61984252929688,8651700
2020-02-03,149.4199981689453,150.49000549316406,149.24000549316406,150.1699981689453,132.76927185058594,5765200
2020-02-04,151.49000549316406,152.75,151.1999969482422,151.60000610351562,134.03355407714844,6541400
2020-02-05,151.72000122070312,154.02000427246094,151.30999755859375,153.99000549316406,136.1466064453125,5979900
2020-02-06,154.25,154.5,152.74000549316406,153.52999877929688,135.73989868164062,6201200
2020-02-07,153.33999633789062,153.4600067138672,151.5500030517578,151.88999938964844,134.28993225097656,5700300
